FieldOfStudy,Country with the most credits,Number of Publications (),Single Authored Publications (%),Domestic Collaborations (%),International Collaborations (%)
materials science,Afghanistan,1,0.00%,0.00%,100.00%
medicine,N/A,0,0.00%,0.00%,0.00%
chemistry,Canada,1,0.00%,0.00%,0.00%
computer science,Turkey,2,0.00%,50.00%,0.00%
biology,China,1,0.00%,0.00%,0.00%
mathematics,Unknown,1,0.00%,0.00%,0.00%
engineering,Canada,1,100.00%,0.00%,0.00%
physics,Afghanistan,2,50.00%,50.00%,0.00%
environmental science,Afghanistan,4,50.00%,25.00%,0.00%
geology,N/A,0,0.00%,0.00%,0.00%
psychology,Australia,2,50.00%,0.00%,0.00%
business,Brazil,1,0.00%,100.00%,0.00%
geography,Indonesia,1,0.00%,0.00%,0.00%
economics,Unknown,2,100.00%,0.00%,0.00%
sociology,N/A,0,0.00%,0.00%,0.00%
political science,N/A,0,0.00%,0.00%,0.00%
history,N/A,0,0.00%,0.00%,0.00%
art,Afghanistan,16,25.00%,37.50%,12.50%
philosophy,N/A,0,0.00%,0.00%,0.00%
All Fields,N/A,35,31.43%,28.57%,8.57%
